SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950072806_aab,1950-08-05 10:00:00,-59.5,30.71,-67.16666666666667,44.85666666666666,96965.0,29.473333333333333,1.0
1950081000_aac,1950-08-21 18:00:00,-64.5,30.71,-55.0,47.68,98220.0,23.47,1.0
1950100306_aah,1950-10-05 22:00:00,-83.5,17.23,-81.83333333333333,26.37666666666667,99281.33333333331,20.07333333333333,1.0
1950102706_aai,1950-10-27 07:00:00,-87.0,19.72,-87.66666666666667,19.776666666666664,100583.66666666669,14.801666666666666,1.0
1951052406_aaj,1951-05-28 19:00:00,-98.0,39.2,-87.0,30.37666666666667,100285.83333333331,19.385,1.0
1951070606_aal,1951-07-07 02:00:00,-71.0,21.72,-77.16666666666667,21.55333333333333,100839.0,14.766666666666667,1.0
1951070606_aal,1951-07-11 09:00:00,-71.0,21.72,-95.0,29.21,98578.0,27.535,1.0
1951081612_aaq,1951-08-24 18:00:00,-48.5,16.23,-63.5,44.69,97886.0,29.77,1.0
1951082806_aar,1951-09-13 13:00:00,-24.0,10.74,-23.166666666666668,65.57666666666667,98711.66666666669,23.246666666666663,1.0
1951091506_aat,1951-09-28 02:00:00,-20.0,9.74,-66.0,18.22,98138.33333333331,27.08,1.0
1951091506_aat,1951-10-02 16:00:00,-20.0,9.74,-60.5,46.016666666666666,96503.33333333331,37.303333333333335,1.0
1951092506_aau,1951-09-30 04:00:00,-69.5,23.72,-57.0,47.85,98805.33333333331,18.40333333333333,1.0
1952063000_aaw,1952-07-06 15:00:00,-66.0,21.22,-80.5,27.71,94543.5,48.655,1.0
1952071706_aay,1952-07-18 16:00:00,-84.0,28.21,-84.0,30.043333333333333,100505.66666666669,12.596666666666666,1.0
1952072300_aba,1952-07-28 03:00:00,-73.0,21.22,-65.75,43.69,99781.5,21.97,1.0
1952080812_abb,1952-08-18 22:00:00,-66.5,20.22,-56.5,47.68333333333333,96304.33333333331,31.42,1.0
1952082306_abe,1952-08-23 12:00:00,-80.0,24.22,-80.5,25.21,100443.0,14.92,1.0
1952082306_abe,1952-08-26 00:00:00,-80.0,24.22,-75.5,37.7,99712.0,17.43,1.0
1952090106_abf,1952-09-03 23:00:00,-77.0,18.72,-83.91666666666667,22.136666666666667,98815.5,25.56833333333333,1.0
1952090106_abf,1952-09-06 07:00:00,-77.0,18.72,-87.41666666666667,30.46,95202.33333333331,44.32666666666667,1.0
1952091718_abh,1952-09-30 18:00:00,-27.0,14.73,-55.0,49.18,95472.0,32.61,1.0
1952092006_abj,1952-09-22 14:00:00,-17.5,13.23,-16.333333333333332,20.386666666666667,100775.66666666669,12.28,1.0
1952100106_abk,1952-10-03 19:00:00,-89.0,26.21,-85.16666666666667,29.87666666666667,99309.83333333331,21.18166666666667,1.0
1952103006_abl,1952-11-04 16:00:00,-60.5,17.23,-69.66666666666667,19.22,100410.33333333331,15.996666666666668,1.0
1952103006_abl,1952-11-08 04:00:00,-60.5,17.23,-87.16666666666667,21.55333333333333,98962.33333333331,26.72,1.0
1952103006_abl,1952-11-13 06:00:00,-60.5,17.23,-92.5,29.71,100401.0,20.29,1.0
1953072212_abp,1953-07-24 14:00:00,-95.0,23.22,-92.66666666666669,29.87666666666667,100024.33333333331,20.106666666666666,1.0
1953091506_abt,1953-10-03 19:00:00,-24.0,12.73,-8.333333333333334,42.44,96689.66666666669,25.931666666666665,1.0
1953092312_abu,1953-10-01 17:00:00,-18.5,25.71,-7.833333333333334,37.11666666666667,99819.16666666669,18.921666666666667,1.0
1953111718_abx,1953-11-19 01:00:00,-40.5,40.69,-28.666666666666668,38.61666666666667,100179.83333333331,15.728333333333332,1.0
1954053012_aby,1954-06-03 07:00:00,-59.0,25.21,-80.16666666666667,27.293333333333333,100436.83333333331,17.564999999999998,1.0
1954053012_aby,1954-06-07 19:00:00,-59.0,25.21,-89.66666666666667,30.21,99474.33333333331,17.223333333333333,1.0
1954053012_aby,1954-06-13 21:00:00,-59.0,25.21,-66.0,43.94,98778.5,22.135,1.0
1954071206_abz,1954-07-18 18:00:00,-76.5,29.21,-55.5,47.68,95835.0,31.53,1.0
1954080512_aca,1954-08-08 08:00:00,-78.5,26.21,-80.83333333333333,28.87666666666667,100523.0,18.666666666666668,1.0
1954092206_acc,1954-09-22 22:00:00,-81.5,20.72,-82.0,22.386666666666667,100547.66666666669,12.503333333333334,1.0
1954092206_acc,1954-09-24 19:00:00,-81.5,20.72,-78.33333333333333,33.86666666666667,100049.83333333331,20.223333333333333,1.0
1955061812_ach,1955-06-22 05:00:00,-92.0,21.72,-97.41666666666669,27.62666666666667,100015.0,21.82333333333333,1.0
1955081312_acl,1955-08-25 19:00:00,-31.0,13.23,-8.333333333333334,51.928333333333335,99467.5,22.206666666666667,1.0
1955091112_aco,1955-09-13 00:00:00,-79.5,15.73,-88.0,18.22,100319.0,14.75,1.0
1956050200_acr,1956-05-02 02:00:00,-80.0,26.21,-80.16666666666667,26.37666666666667,100736.66666666669,16.706666666666667,1.0
1956051818_acs,1956-05-18 21:00:00,-83.5,27.21,-82.625,27.96,100849.5,15.615,1.0
1956081918_acu,1956-09-05 17:00:00,-23.5,10.24,-54.5,47.681666666666665,94444.33333333331,40.05166666666667,1.0
1956090306_acw,1956-09-04 17:00:00,-95.0,25.71,-97.41666666666669,25.71,100423.33333333331,15.035,1.0
1956090306_acw,1956-09-08 21:00:00,-95.0,25.71,-89.5,29.21,100416.5,15.579999999999998,1.0
1956092400_acy,1956-09-25 04:00:00,-84.5,25.71,-81.66666666666667,26.37666666666667,99295.0,20.046666666666667,1.0
1957012518_ade,1957-02-02 19:00:00,-37.0,35.7,22.20833333333333,46.52166666666666,97514.83333333331,25.58833333333333,1.0
1957052206_adf,1957-05-23 20:00:00,-90.0,25.21,-89.83333333333333,29.37666666666667,99125.0,16.330000000000002,1.0
1957052206_adf,1957-05-24 13:00:00,-90.0,25.21,-88.41666666666667,30.293333333333333,98930.0,17.363333333333333,1.0
1957082918_adk,1957-09-01 12:00:00,-69.5,26.21,-67.5,44.69,99874.0,18.45,1.0
1957091706_adm,1957-09-18 19:00:00,-81.0,19.72,-81.91666666666667,22.386666666666667,100407.83333333331,15.041666666666668,1.0
1957091706_adm,1957-09-21 05:00:00,-81.0,19.72,-81.08333333333333,25.12833333333333,98769.33333333331,24.616666666666667,1.0
1958062800_ado,1958-06-30 14:00:00,-87.0,25.21,-85.16666666666667,29.87666666666667,100262.66666666669,17.163333333333334,1.0
1958080318_adq,1958-08-15 12:00:00,-19.5,11.23,-66.0,44.19,95067.0,44.05,1.0
1958080712_ads,1958-08-13 14:00:00,-78.5,28.71,-57.66666666666666,47.68,99228.0,21.78333333333333,1.0
1958100206_adv,1958-10-05 21:00:00,-72.5,13.73,-77.0,18.225,99646.5,18.325,1.0
1958100206_adv,1958-10-07 04:00:00,-72.5,13.73,-78.0,20.886666666666667,99066.33333333331,22.086666666666662,1.0
1959081718_aea,1959-08-19 23:00:00,-95.5,24.72,-92.16666666666669,29.62666666666667,100063.66666666669,16.768333333333334,1.0
1959082606_aeb,1959-08-26 23:00:00,-74.0,21.22,-77.91666666666667,24.05333333333333,100715.33333333331,14.663333333333334,1.0
1959090800_aed,1959-09-14 23:00:00,-67.5,22.72,-53.333333333333336,47.181666666666665,98826.5,26.105,1.0
1960062106_aej,1960-06-23 01:00:00,-89.0,25.71,-87.91666666666667,30.37666666666667,99678.0,18.325000000000003,1.0
1960070818_aek,1960-07-15 02:00:00,-57.5,28.71,-65.16666666666667,45.85333333333333,98006.0,25.82333333333333,1.0
1960070818_aek,1960-07-15 16:00:00,-57.5,28.71,-62.333333333333336,49.18,98223.66666666669,19.22,1.0
1960071412_ael,1960-07-16 22:00:00,-89.0,29.71,-82.83333333333333,29.21,100493.33333333331,15.636666666666668,1.0
1960080412_aem,1960-08-09 20:00:00,-85.0,29.21,-85.16666666666667,29.87666666666667,97789.0,29.026666666666667,1.0
1960090800_aeq,1960-09-17 19:00:00,-98.5,18.22,-115.25,29.87666666666667,99361.0,19.356666666666666,1.0
1960091100_aer,1960-09-13 16:00:00,-93.0,28.21,-94.0,29.87666666666667,98251.33333333331,24.093333333333334,1.0
1960100500_aeu,1960-10-10 11:00:00,-37.5,34.7,-67.41666666666667,44.85666666666666,99041.5,17.973333333333333,1.0
1961061906_aez,1961-06-22 10:00:00,-93.0,24.22,-82.83333333333333,29.37666666666667,98389.0,24.996666666666663,1.0
1961073012_afb,1961-08-11 20:00:00,-23.5,12.73,-69.16666666666667,44.52333333333333,94152.66666666669,42.68666666666667,1.0
1961080606_afc,1961-08-20 18:00:00,-18.5,10.74,-73.0,40.69,95539.0,33.08,1.0
1961090100_afe,1961-09-10 00:00:00,-52.0,18.72,-77.5,34.7,95400.0,33.24,1.0
1961091106_afg,1961-09-14 05:00:00,-68.0,24.22,-81.41666666666667,31.12666666666667,100716.33333333331,15.78,1.0
1961102000_afm,1961-10-25 11:00:00,-80.5,12.73,-81.5,22.136666666666667,98364.33333333331,28.83333333333333,1.0
1961102000_afm,1961-10-27 17:00:00,-80.5,12.73,-87.25,20.72,98920.5,29.676666666666662,1.0
1961102000_afm,1961-10-29 09:00:00,-80.5,12.73,-93.25,18.47,99318.0,24.895,1.0
1962070200_afp,1962-07-07 04:00:00,-58.0,17.23,-64.16666666666667,44.69,99840.0,26.82,1.0
1962071512_afq,1962-07-19 01:00:00,-88.0,23.22,-97.66666666666669,24.801666666666662,99608.83333333331,16.74,1.0
1962071612_afr,1962-07-16 18:00:00,-79.0,28.21,-80.5,28.21,100665.0,15.46,1.0
1962071612_afr,1962-07-21 04:00:00,-79.0,28.21,-75.83333333333333,36.36666666666667,98973.33333333331,23.026666666666667,1.0
1962091406_afw,1962-09-27 05:00:00,-18.0,15.73,-80.25,26.62666666666667,93712.5,58.88166666666667,1.0
1962101000_afy,1962-10-12 15:00:00,-85.0,18.72,-81.25,22.095,100451.0,12.335,1.0
1963071512_agc,1963-07-18 16:00:00,-88.5,22.72,-97.66666666666669,24.22,99704.66666666669,21.01,1.0
1963072818_age,1963-07-30 11:00:00,-80.5,19.22,-87.41666666666667,20.22,100646.16666666669,13.285,1.0
1963072818_age,1963-08-03 01:00:00,-80.5,19.22,-95.41666666666669,28.87666666666667,99958.33333333331,18.151666666666667,1.0
1963083100_agh,1963-08-31 23:00:00,-62.0,17.73,-67.33333333333333,18.13833333333333,100630.16666666669,21.93,1.0
1963083100_agh,1963-09-01 14:00:00,-62.0,17.73,-69.16666666666667,18.386666666666667,100417.0,18.556666666666665,1.0
1963083100_agh,1963-09-03 03:00:00,-62.0,17.73,-79.25,22.47,99462.0,21.87,1.0
1963083100_agh,1963-09-05 04:00:00,-62.0,17.73,-90.33333333333331,29.21,97761.66666666669,31.356666666666666,1.0
1963101912_agj,1963-10-25 17:00:00,-76.0,25.21,-69.5,43.94,98892.33333333331,18.76,1.0
1963121606_agl,1963-12-19 05:00:00,-47.5,23.72,-67.16666666666667,18.386666666666667,100900.16666666669,14.39,1.0
1964052518_agp,1964-05-30 00:00:00,-74.0,33.2,-61.0,45.69,98771.0,22.03,1.0
1964080618_agr,1964-08-16 10:00:00,-20.5,14.73,-67.16666666666667,44.69,98962.0,21.363333333333333,1.0
1964090906_agu,1964-09-14 04:00:00,-70.5,23.72,-75.83333333333333,35.53333333333334,100100.66666666669,21.313333333333333,1.0
1964091012_agv,1964-09-19 21:00:00,-60.0,16.23,-80.25,27.21,95695.5,46.3,1.0
1964091012_agv,1964-09-21 23:00:00,-60.0,16.23,-86.08333333333333,30.543333333333333,96309.33333333331,30.106666666666666,1.0
1964102106_aha,1964-10-21 17:00:00,-87.0,16.73,-88.33333333333333,18.055,100889.0,14.706666666666669,1.0
1965060106_ahg,1965-06-05 12:00:00,-84.0,17.23,-91.0,29.21,97861.0,29.5,1.0
1965070706_ahh,1965-07-09 08:00:00,-75.0,26.21,-77.66666666666667,34.2,99827.33333333331,23.75,1.0
1965072112_ahj,1965-07-23 11:00:00,-93.0,26.21,-92.08333333333331,29.62666666666667,99980.33333333331,19.74833333333333,1.0
1965080818_ahk,1965-08-23 03:00:00,-46.0,16.23,-66.75,45.19,98093.5,19.47,1.0
1965080818_ahk,1965-08-26 05:00:00,-46.0,16.23,-57.41666666666666,54.50333333333334,99966.33333333331,15.568333333333332,1.0
1965090806_ahm,1965-09-21 13:00:00,-66.0,24.22,-8.583333333333334,42.85666666666666,99738.16666666669,15.06,1.0
1965093006_ahn,1965-10-04 02:00:00,-69.0,30.21,-57.0,47.68666666666667,98370.0,21.956666666666667,1.0
1965101812_ahp,1965-10-24 04:00:00,-42.0,22.72,-5.833333333333333,36.2,100851.33333333331,14.063333333333334,1.0
1966051306_ahs,1966-05-15 03:00:00,-81.5,15.73,-82.0,22.47,100335.5,14.31,1.0
1966051306_ahs,1966-05-21 00:00:00,-81.5,15.73,-55.829999999999984,53.01,99383.0,13.06,1.0
1966052012_aht,1966-05-23 10:00:00,-84.5,27.21,-83.66666666666667,30.043333333333333,100333.66666666669,12.836666666666668,1.0
1966060706_ahu,1966-06-07 07:00:00,-83.5,22.22,-83.66666666666667,22.55333333333333,100909.5,14.658333333333331,1.0
1966060706_ahu,1966-06-09 17:00:00,-83.5,22.22,-91.0,29.12666666666667,99101.0,21.343333333333334,1.0
1966060706_ahu,1966-06-13 05:00:00,-83.5,22.22,-97.43666666666668,25.523333333333333,100542.16666666669,12.546666666666669,1.0
1966070218_ahv,1966-07-05 21:00:00,-71.0,32.7,-55.25,47.185,98755.5,21.4,1.0
1966072206_ahx,1966-07-24 21:00:00,-71.0,24.22,-80.5,28.21,100744.5,16.950000000000003,1.0
1966072206_ahx,1966-07-25 22:00:00,-71.0,24.22,-83.83333333333333,30.043333333333333,100344.0,14.973333333333333,1.0
1966082718_aia,1966-09-02 05:00:00,-65.5,25.21,-62.66666666666666,44.77333333333333,99560.66666666669,21.558333333333334,1.0
1966121612_aid,1966-12-18 05:00:00,-66.0,15.23,-67.0,18.13833333333333,100007.83333333331,16.293333333333333,1.0
1967062718_aif,1967-07-01 20:00:00,-79.0,17.23,-85.66666666666667,30.37666666666667,96626.66666666669,38.31333333333333,1.0
1967080506_aih,1967-08-06 15:00:00,-76.5,31.21,-77.0,34.95,100283.5,21.79,1.0
1967081312_aii,1967-08-20 13:00:00,-48.0,23.72,-55.16666666666666,46.93833333333333,98230.66666666669,27.075000000000003,1.0
1967082506_aik,1967-09-01 16:00:00,-72.0,33.7,-60.66666666666666,45.69,98902.0,24.95,1.0
1967090106_ail,1967-09-14 01:00:00,-26.0,12.73,-2.1666666666666665,47.263333333333335,96888.16666666669,28.3,1.0
1967092300_ain,1967-09-23 17:00:00,-86.0,21.72,-89.83333333333333,21.30333333333333,100457.16666666669,12.033333333333331,1.0
1967092300_ain,1967-09-25 10:00:00,-86.0,21.72,-97.66666666666669,22.05333333333333,100439.33333333331,14.963333333333331,1.0
1967092618_aip,1967-10-01 12:00:00,-69.0,29.21,-75.0,39.2,97535.0,29.24,1.0
1967100500_aiq,1967-10-12 07:00:00,-52.0,24.22,-67.75,44.355,99055.66666666669,26.50333333333333,1.0
