SID,ISO_TIME,LAT,LON,WIND,PRES,GEN_LAT,GEN_LON,LANDFRAC
1851175N26270,1851-06-26 00:00:00,28.1667,-96.8,70.0,,26.1,-90.4,1.0
1851175N26270,1851-06-26 00:00:00,28.17866,-96.85585999999999,68.75,,26.1,-90.4,1.0
1851228N13313,1851-08-19 06:00:00,18.4629,-70.0363,72.5,,13.3667,-47.2,1.0
1851228N13313,1851-08-19 06:00:00,18.5333,-70.2667,70.0,,13.3667,-47.2,1.0
1851228N13313,1851-08-27 15:00:00,47.308,-55.287,40.0,,13.3667,-47.2,1.0
1851228N13313,1851-08-27 15:00:00,47.5464,-54.9096,40.0,,13.3667,-47.2,1.0
1851250N20278,1851-09-07 06:00:00,22.1,-80.9,,,20.0,-82.0,1.0
1851250N20278,1851-09-07 06:00:00,22.165480000000002,-80.86292,,,20.0,-82.0,1.0
1851256N26265,1851-09-16 03:00:00,27.2,-97.35,,,25.5,-95.5,1.0
1851256N26265,1851-09-16 03:00:00,27.2,-97.3625,,,25.5,-95.5,1.0
1851283N24298,1851-10-14 06:00:00,45.8,-64.8,,,23.7,-61.6,1.0
1851283N24298,1851-10-14 06:00:00,46.197919999999996,-64.3658,,,23.7,-61.6,1.0
1851289N29282,1851-10-19 16:00:00,41.4,-71.66666666666667,46.666666666666664,,28.7,-78.0,1.0
1852232N21293,1852-08-26 10:00:00,30.321649999999998,-88.57695,93.33333333333333,961.0,20.6333,-67.3333,1.0
1852247N14309,1852-09-12 02:00:00,27.970725,-82.5912,66.66666666666667,,14.0,-51.2,1.0
1852249N17296,1852-09-05 17:00:00,18.09676,-66.87908,62.22222222222222,,17.0,-64.1,1.0
1852266N17274,1852-09-23 10:00:00,18.033333333333335,-88.30499999999999,,,16.8,-86.1,1.0
1852273N11295,1852-10-03 06:00:00,14.0,-83.4,,,11.0,-65.5,1.0
1852273N11295,1852-10-03 06:00:00,14.00006,-83.5085,,,11.0,-65.5,1.0
1852278N14293,1852-10-09 23:00:00,30.084600000000002,-84.2773,85.0,,14.0,-67.0,1.0
1852331N24274,1852-11-26 20:00:00,27.0906,-82.11733333333333,,,23.5,-86.2,1.0
1853239N11302,1853-08-29 16:00:00,18.37125,-73.4712,,,10.5,-58.5,1.0
1853239N11302,1853-08-30 05:00:00,19.99995,-75.9751,,,10.5,-58.5,1.0
1853239N11302,1853-09-02 02:00:00,28.97,-82.63538,,,10.5,-58.5,1.0
1853291N32280,1853-10-21 13:00:00,31.492874999999998,-81.386675,80.0,,31.5,-80.5,1.0
1854176N26268,1854-06-26 14:00:00,26.2261,-97.46936,63.333333333333336,,26.0,-92.5,1.0
1854253N14303,1854-09-14 01:00:00,18.360625,-73.776875,,,14.0,-57.5,1.0
1855206N22263,1855-07-25 03:00:00,22.55,-98.0075,,,21.8,-97.0,1.0
1855206N22263,1855-07-25 03:00:00,22.580000000000002,-98.04599999999999,,,21.8,-97.0,1.0
1855215N30272,1855-08-05 13:00:00,30.19625,-89.55,,,30.1,-88.2,1.0
1855236N12304,1855-08-27 03:00:00,18.610799999999998,-69.93435,50.0,997.0,11.6,-55.8333,1.0
1855236N12304,1855-08-27 03:00:00,18.7033,-70.1347,50.0,997.0,11.6,-55.8333,1.0
1855236N12304,1855-08-31 14:00:00,29.1999,-89.3038,40.0,997.0,11.6,-55.8333,1.0
1855252N20274,1855-09-09 03:00:00,20.3499,-87.3726,,,19.9,-85.9,1.0
1855252N20274,1855-09-09 03:00:00,20.379920000000002,-87.45808000000001,,,19.9,-85.9,1.0
1855252N20274,1855-09-16 02:00:00,29.14045,-89.34995,110.0,,19.9,-85.9,1.0
1855252N20274,1855-09-16 13:00:00,30.337766666666667,-89.3517,95.71428571428571,,19.9,-85.9,1.0
1856221N25277,1856-08-10 17:00:00,29.107725,-91.028775,130.0,,25.2,-83.5,1.0
1856232N33285,1856-08-19 11:00:00,34.8012,-76.40896666666667,50.0,,32.5,-75.5,1.0
1856235N13302,1856-08-27 13:00:00,22.623633333333334,-79.58556666666667,88.57142857142857,,13.4,-58.0,1.0
1856235N13302,1856-08-31 08:00:00,30.36175,-85.7247,84.28571428571429,969.0,13.4,-58.0,1.0
1857174N26274,1857-06-24 20:00:00,29.23326666666667,-89.22826666666667,,,26.2,-86.5,1.0
1857185N25277,1857-07-04 14:00:00,25.1699,-80.59615,,,24.6,-83.1,1.0
1857229N16276,1857-08-22 20:00:00,25.91235,-81.624775,,,15.8,-84.0,1.0
1857230N10315,1857-08-20 09:00:00,10.2499,-60.8499,,,9.6,-45.5,1.0
1857230N10315,1857-08-20 09:00:00,10.262425,-61.012425,,,9.6,-45.5,1.0
1857251N13300,1857-09-14 07:00:00,17.7308,-88.33586666666667,,,12.8,-60.0,1.0
1857261N16301,1857-09-26 20:00:00,20.84995,-87.12885,,,16.0,-59.5,1.0
1857261N16301,1857-09-30 04:00:00,24.124925,-97.67507499999999,,,16.0,-59.5,1.0
1857267N16305,1857-09-28 19:00:00,21.14892,-86.77108,85.55555555555556,,16.0,-54.7,1.0
1857267N16305,1857-09-30 11:00:00,25.889433333333333,-97.2394,50.0,,16.0,-54.7,1.0
1857279N18282,1857-10-05 14:00:00,18.345,-78.084225,,,18.0,-78.0,1.0
1857279N18282,1857-10-06 11:00:00,21.2,-78.587525,,,18.0,-78.0,1.0
1857279N18282,1857-10-08 14:00:00,26.2518,-80.208,,,18.0,-78.0,1.0
1857313N17300,1857-11-13 08:00:00,24.866600000000002,-77.6616,,,17.3,-60.5,1.0
1858162N17283,1858-06-13 01:00:00,20.037475,-87.45005,,,16.8,-77.0,1.0
1858162N17283,1858-06-15 07:00:00,23.149900000000002,-97.7375,,,16.8,-77.0,1.0
1858254N21273,1858-09-14 21:00:00,28.430175,-82.649825,50.0,,21.5,-87.5,1.0
1858254N21273,1858-09-14 21:00:00,28.518,-82.522,50.0,,21.5,-87.5,1.0
1858254N21273,1858-09-16 18:00:00,41.36596,-71.80120000000001,71.25,,21.5,-87.5,1.0
1858254N21273,1858-09-16 18:00:00,41.7333,-71.6667,70.0,979.0,21.5,-87.5,1.0
1859172N18275,1859-06-21 20:00:00,18.5375,-87.6875,,,18.0,-85.4,1.0
1859172N18275,1859-06-27 05:00:00,21.01505,-97.3538,,,18.0,-85.4,1.0
1859234N24275,1859-08-24 03:00:00,29.4079,-83.2752,,,24.0,-85.4,1.0
1859234N24275,1859-08-24 03:00:00,29.46632,-83.14016,,,24.0,-85.4,1.0
1859253N21275,1859-09-15 21:00:00,30.3092,-88.1174,70.0,,20.7,-85.5,1.0
1859253N21275,1859-09-15 21:00:00,30.3819,-88.046375,70.0,,20.7,-85.5,1.0
1859289N25285,1859-10-17 17:00:00,26.449366666666666,-80.31056666666667,51.42857142857143,,25.1,-75.1,1.0
